english_name,npb_name,origin_league,season,PA,AVG,OBP,SLG,OPS,wOBA,HR,IP,ERA,FIP,K_pct,BB_pct,WHIP
Domingo Santana,サンタナ,MLB,2020,84,0.157,0.298,0.286,0.584,0.271,1,,,,29.8,15.5,
Jose Osuna,オスナ,MLB,2020,82,0.205,0.244,0.397,0.641,0.273,5,,,,19.5,4.9,
Adeiny Hechavarria,エチェバリア,MLB,2020,63,0.254,0.302,0.305,0.607,0.271,0,,,,19.0,6.3,
Justin Smoak,スモーク,MLB,2020,132,0.176,0.250,0.361,0.611,0.265,5,,,,31.8,7.6,
Eric Thames,テームズ,MLB,2020,140,0.203,0.300,0.317,0.617,0.276,3,,,,30.0,10.0,
Scott Heineman,ハイネマン,MLB,2020,54,0.154,0.185,0.269,0.454,0.197,1,,,,20.4,3.7,
Kevin Cron,クロン,MLB,2019,78,0.211,0.269,0.521,0.790,0.321,6,,,,35.9,5.1,
Rusney Castillo,カスティーヨ,AAA,2019,492,0.278,0.321,0.448,0.769,0.325,17,,,,12.8,5.1,
Mel Rojas Jr.,ロハス・ジュニア,KBO,2020,628,0.349,0.417,0.680,1.097,0.440,47,,,,21.0,10.4,
Mike Gerber,ガーバー,MLB,2018,73,0.076,0.151,0.106,0.257,0.127,0,,,,49.3,8.2,
Rangel Ravelo,ラベロ,MLB,2020,41,0.171,0.244,0.286,0.530,0.233,1,,,,14.6,9.8,
Dariel Alvarez,アルバレス,MLB,2015,35,0.250,0.314,0.406,0.720,0.315,1,,,,22.9,8.6,
Ronny Rodriguez,Ｒ．ロドリゲス,MLB,2019,294,0.221,0.252,0.438,0.690,0.283,14,,,,27.9,4.4,
Kevin Shackelford,シャッケルフォード,MLB,2017,,,,,,,,30.2,4.70,4.79,28.1,9.6,1.40
Cy Sneed,サイスニード,MLB,2020,,,,,,,,17.1,5.71,4.70,25.3,12.0,1.85
Randy Rosario,ロサリオ,MLB,2018,,,,,,,,46.2,3.66,4.68,15.0,10.0,1.44
Dovydas Neverauskas,ネバラスカス,MLB,2020,,,,,,,,19.0,7.11,5.77,25.8,11.2,1.79
Kyle Bird,バード,MLB,2019,,,,,,,,12.2,7.82,10.79,15.4,23.1,2.05
Robbie Erlin,アーリン,MLB,2020,,,,,,,,26.2,8.10,6.23,20.5,5.7,1.50
Matt Dermody,ダーモディ,MLB,Career,,,,,,,,31.1,5.74,6.58,16.7,5.8,1.37
Raul Alcantara,アルカンタラ,KBO,2020,,,,,,,,198.2,2.54,,22.9,3.8,1.03
Glenn Sparkman,スパークマン,MLB,2019,,,,,,,,136.0,6.02,5.93,13.4,6.8,1.51
Cesar Vargas,バルガス,MLB,2016,,,,,,,,34.0,5.03,4.82,18.2,9.7,1.65
