npb_name,player_type,origin_league,prev_wOBA,prev_ERA,expected_pa,expected_ip,source
アブレウ,pitcher,MLB,,4.73,,55,"Albert Abreu MLB 2023 (59.0 IP, ERA 4.73)"
ルーカス,pitcher,Independent,,6.66,,55,"Easton Lucas MLB 2025 (24.1 IP, ERA 6.66)"
ラグズデール,pitcher,AAA,,14.40,,55,"Carson Ragsdale MLB 2025 (5.0 IP, ERA 14.40)"
モレッタ,pitcher,MLB,,3.24,,55,"Dauri Moreta MLB 2025 (16.2 IP, ERA 3.24)"
ディベイニー,hitter,AAA,,,350,,Cam Divinney — no FanGraphs stats found
コントレラス,pitcher,Cuba,,,,55,Loanscy Contreras — no FanGraphs stats found
マッカスカー,hitter,AAA,0.170,,350,,"Carson McCusker MLB 2025 (30 PA, wOBA 0.170)"
キハダ,pitcher,MLB,,3.26,,55,"Jose Quijada MLB 2024 (19.1 IP, ERA 3.26)"
リランソ,pitcher,AAA,,3.39,,50,"Jesus Liranzo AAA Nashville 2025 (48G, ERA 3.39, K64)"
ウィットリー,pitcher,MLB,,13.50,,120,"Forrest Whitley MLB 2025 (12.0 IP, ERA 13.50)"
マタ,pitcher,MLB,,,,55,Brian Mata — no FanGraphs stats found
ダルベック,hitter,MLB,0.284,,350,,"Bobby Dalbec MLB 2025 (21 PA, wOBA 0.284)"
ラオ,pitcher,AAA,,,,55,Saul Rao — no FanGraphs stats found
カストロ,hitter,MLB,0.277,,350,,"Rodolfo Castro MLB 2023 (256 PA, wOBA 0.277)"
ヒュンメル,hitter,MLB,0.268,,350,,"Cooper Hummel MLB 2025 (105 PA, wOBA 0.268)"
コックス,pitcher,MLB,,8.86,,120,"Austin Cox MLB 2025 (21.1 IP, ERA 8.86)"
ルイーズ,pitcher,MLB,,8.82,,55,"Jose Ruiz MLB 2025 (16.1 IP, ERA 8.82)"
ワイナンス,pitcher,AAA,,,,55,Alan Wainans — no FanGraphs stats found
サノー,hitter,MLB,0.275,,350,,"Miguel Sano MLB 2024 (95 PA, wOBA 0.275)"
カナリオ,hitter,MLB,0.270,,350,,"Alexander Canario MLB 2025 (234 PA, wOBA 0.270)"
ターノック,pitcher,MLB,,2.45,,55,"Freddy Tarnok MLB 2025 (7.1 IP, ERA 2.45)"
ロング,pitcher,MLB,,5.36,,55,"Sam Long MLB 2025 (40.1 IP, ERA 5.36)"
シーモア,hitter,AAA,0.37,,400,,"Robert Seymour AAA Durham 2025 (105G, 30HR, OPS .880)"
ジェリー,pitcher,MLB,,7.80,,55,"Sean Hjelle MLB 2025 (15.0 IP, ERA 7.80)"
