npb_name,english_name,player_type,origin_league,npb_first_year
アブレウ,Albert Abreu,pitcher,MLB,2026
ルーカス,Easton Lucas,pitcher,Independent,2026
ラグズデール,Carson Ragsdale,pitcher,AAA,2026
モレッタ,Dauri Moreta,pitcher,MLB,2026
ディベイニー,Cam Divinney,hitter,AAA,2026
コントレラス,Loanscy Contreras,pitcher,Cuba,2026
マッカスカー,Carson McCusker,hitter,AAA,2026
キハダ,Jose Quijada,pitcher,MLB,2026
リランソ,Jesus Liranzo,pitcher,AAA,2026
ウィットリー,Forrest Whitley,pitcher,MLB,2026
マタ,Brian Mata,pitcher,MLB,2026
ダルベック,Bobby Dalbec,hitter,MLB,2026
ラオ,Saul Rao,pitcher,AAA,2026
カストロ,Rodolfo Castro,hitter,MLB,2026
ヒュンメル,Cooper Hummel,hitter,MLB,2026
コックス,Austin Cox,pitcher,MLB,2026
ルイーズ,Jose Ruiz,pitcher,MLB,2026
ワイナンス,Alan Wainans,pitcher,AAA,2026
サノー,Miguel Sano,hitter,MLB,2026
カナリオ,Alexander Canario,hitter,MLB,2026
ターノック,Freddy Tarnok,pitcher,MLB,2026
ロング,Sam Long,pitcher,MLB,2026
シーモア,Robert Seymour,hitter,AAA,2026
ジェリー,Sean Hjelle,pitcher,MLB,2026
