player,team,PA,marcel_OPS,stan_wOBA,stan_OPS,bayes_OPS,bayes_OPS_lo80,bayes_OPS_hi80,bayes_OPS_lo95,bayes_OPS_hi95,stan_delta,method
秋山　翔吾,西武,681,0.851,,,0.851,,,,,,marcel_only
田中　広輔,広島,476,0.683,0.3002,0.667,0.688,0.477,0.848,0.379,0.95,-0.00675,bma_jpn
源田　壮亮,西武,585,0.686,0.3022,0.672,0.68,0.481,0.853,0.384,0.954,-0.00611,bma_jpn
山川　穂高,西武,538,0.873,0.3882,0.872,0.858,0.682,1.053,0.584,1.155,-0.00033,bma_jpn
大島　洋平,中日,588,0.721,0.3182,0.709,0.71,0.519,0.89,0.421,0.992,-0.00513,bma_jpn
菊池　涼介,広島,546,0.708,0.3133,0.698,0.696,0.507,0.879,0.41,0.98,-0.00441,bma_jpn
浅村　栄斗,楽天,592,0.889,0.3858,0.867,0.885,0.676,1.047,0.579,1.149,-0.0096,bma_jpn
中村　奨吾,ロッテ,563,0.722,0.3166,0.705,0.711,0.515,0.886,0.417,0.988,-0.00716,bma_jpn
糸原　健斗,阪神,452,0.724,0.3188,0.711,0.706,0.52,0.891,0.423,0.993,-0.00576,bma_jpn
山田　哲人,ヤクルト,533,0.89,0.3868,0.869,0.883,0.678,1.05,0.581,1.151,-0.00906,bma_jpn
西川　遥輝,日本ハム,594,0.792,0.34,0.76,0.767,0.569,0.941,0.472,1.042,-0.01379,bma_jpn
京田　陽太,中日,554,0.64,0.2864,0.635,0.633,0.444,0.816,0.347,0.917,-0.00218,bma_jpn
岡本　和真,巨人,572,0.876,0.3879,0.872,0.871,0.681,1.052,0.584,1.154,-0.0019,bma_jpn
藤岡　裕大,ロッテ,400,0.648,0.2919,0.648,0.633,0.457,0.829,0.36,0.93,-7e-05,bma_jpn
上林　誠知,ソフトバンク,322,0.714,0.3253,0.726,0.722,0.535,0.907,0.438,1.008,0.00501,bma_jpn
バレンティン,ソフトバンク,397,0.796,0.3501,0.783,0.775,0.593,0.964,0.495,1.066,-0.00537,bma_jpn
中田　翔,日本ハム,532,0.774,0.3454,0.773,0.789,0.582,0.953,0.484,1.055,-0.00064,bma_jpn
吉田　正尚,オリックス,558,0.929,0.4099,0.923,0.93,0.732,1.104,0.635,1.205,-0.00266,bma_jpn
坂口　智隆,ヤクルト,365,0.694,0.3143,0.7,0.687,0.51,0.881,0.412,0.983,0.00259,bma_jpn
宮﨑　敏郎,DeNA,497,0.796,,,0.796,,,,,,marcel_only
ビシエド,中日,536,0.833,0.3782,0.849,0.84,0.659,1.03,0.561,1.131,0.00684,bma_jpn
松田　宣浩,ソフトバンク,517,0.723,0.3259,0.727,0.725,0.537,0.908,0.439,1.01,0.00176,bma_jpn
筒香　嘉智,DeNA,567,0.888,,,0.888,,,,,,marcel_only
中村　晃,ソフトバンク,370,0.73,0.3282,0.732,0.731,0.542,0.913,0.444,1.015,0.00102,bma_jpn
平田　良介,中日,358,0.76,0.3382,0.756,0.735,0.565,0.937,0.468,1.038,-0.00181,bma_jpn
青木　宣親,ヤクルト,507,0.837,0.3682,0.826,0.836,0.635,1.006,0.538,1.108,-0.00491,bma_jpn
丸　佳浩,巨人,556,0.912,0.3957,0.89,0.911,0.699,1.071,0.602,1.172,-0.00958,bma_jpn
鈴木　大地,楽天,572,0.759,0.3369,0.753,0.758,0.562,0.934,0.465,1.035,-0.0027,bma_jpn
近藤　健介,日本ハム,533,0.86,0.3649,0.818,0.839,0.628,0.999,0.53,1.1,-0.01804,bma_jpn
銀次,楽天,437,0.69,0.3128,0.696,0.679,0.506,0.877,0.408,0.979,0.00278,bma_jpn
森　友哉,西武,498,0.828,0.3672,0.823,0.813,0.633,1.004,0.535,1.106,-0.002,bma_jpn
西浦　直亨,ヤクルト,321,0.683,0.2983,0.663,0.688,0.472,0.844,0.375,0.945,-0.00871,bma_jpn
柳田　悠岐,ソフトバンク,404,0.984,0.4164,0.938,0.964,0.747,1.119,0.65,1.22,-0.0198,bma_jpn
井上　晴哉,ロッテ,493,0.79,0.347,0.776,0.794,0.586,0.957,0.488,1.059,-0.00597,bma_jpn
マギー,巨人,547,0.741,,,0.741,,,,,,marcel_only
アルモンテ,中日,297,0.817,0.3584,0.803,0.816,0.612,0.984,0.515,1.085,-0.0061,bma_jpn
鈴木　誠也,広島,548,0.967,0.4246,0.957,0.965,0.767,1.138,0.669,1.24,-0.00426,bma_jpn
安達　了一,オリックス,318,0.65,0.2841,0.63,0.645,0.439,0.81,0.342,0.912,-0.00876,bma_jpn
