player,team,IP,marcel_ERA,stan_ERA,bayes_ERA,bayes_ERA_lo80,bayes_ERA_hi80,bayes_ERA_lo95,bayes_ERA_hi95,stan_delta,method
永野　将司,ロッテ,8.6,3.92,3.31,3.59,1.12,5.38,0.0,6.55,-0.6149,bma_jpn
笠井　崇正,DeNA,8.6,3.81,,3.81,,,,,,marcel_only
岩嵜　翔,ソフトバンク,7.4,4.27,3.36,3.68,1.17,5.44,0.05,6.61,-0.9072,bma_jpn
山本　拓実,中日,27.7,3.61,3.28,3.64,1.09,5.36,0.0,6.52,-0.3339,bma_jpn
石川　翔,中日,1.0,3.52,,3.52,,,,,,marcel_only
立田　将太,日本ハム,1.0,3.64,,3.64,,,,,,marcel_only
田川　賢吾,ヤクルト,9.2,4.06,,4.06,,,,,,marcel_only
北浦　竜次,日本ハム,7.4,3.97,,3.97,,,,,,marcel_only
カンポス,広島,1.0,3.98,,3.98,,,,,,marcel_only
石井　裕也,日本ハム,0.3,4.23,,4.23,,,,,,marcel_only
福　敬登,中日,38.8,3.39,3.48,3.44,1.29,5.56,0.17,6.73,0.0899,bma_jpn
ヘルウェグ,広島,5.5,3.77,,3.77,,,,,,marcel_only
菊池　保則,広島,41.1,3.73,3.09,3.24,0.9,5.16,0.0,6.33,-0.6444,bma_jpn
東條　大樹,ロッテ,32.2,3.57,3.51,3.52,1.32,5.59,0.2,6.76,-0.0597,bma_jpn
小川　龍也,西武,26.3,3.31,3.76,3.49,1.58,5.84,0.45,7.01,0.4546,bma_jpn
フランスア,広島,63.1,2.96,2.93,2.98,0.74,5.01,0.0,6.18,-0.0277,bma_jpn
久保　裕也,楽天,14.9,4.04,,4.04,,,,,,marcel_only
宋　家豪,楽天,40.7,3.81,3.72,3.6,1.53,5.8,0.41,6.97,-0.0878,bma_jpn
宮西　尚生,日本ハム,47.2,3.07,3.12,2.95,0.93,5.2,0.0,6.37,0.0498,bma_jpn
今野　龍太,ヤクルト,14.8,3.77,2.93,3.48,0.74,5.01,0.0,6.17,-0.8436,bma_jpn
青山　浩二,楽天,34.2,3.61,3.36,3.54,1.17,5.44,0.05,6.61,-0.2495,bma_jpn
ミランダ,ソフトバンク,69.6,3.81,,3.81,,,,,,marcel_only
宮國　椋丞,巨人,28.4,3.83,3.74,3.73,1.55,5.82,0.43,6.99,-0.0915,bma_jpn
ハーマン,ロッテ,42.8,3.42,3.62,3.42,1.43,5.7,0.31,6.87,0.2007,bma_jpn
比嘉　幹貴,オリックス,25.2,3.84,4.31,3.81,2.13,6.39,1.0,7.56,0.4749,bma_jpn
メルセデス,巨人,87.3,3.25,3.34,3.48,1.15,5.42,0.03,6.59,0.0894,bma_jpn
石山　泰稚,ヤクルト,48.0,3.13,2.72,3.04,0.54,4.8,0.0,5.97,-0.4051,bma_jpn
佐藤　優,中日,21.0,4.14,4.0,3.94,1.81,6.07,0.68,7.24,-0.1447,bma_jpn
マーティン,西武,33.1,3.86,,3.86,,,,,,marcel_only
菅野　智之,巨人,153.2,2.96,3.09,3.08,0.9,5.17,0.0,6.34,0.1313,bma_jpn
浦野　博司,日本ハム,22.0,3.85,,3.85,,,,,,marcel_only
公文　克彦,日本ハム,40.9,4.06,3.7,3.74,1.51,5.78,0.39,6.95,-0.3558,bma_jpn
竹安　大知,オリックス,23.8,3.8,,3.8,,,,,,marcel_only
阿部　和成,ロッテ,4.0,3.8,,3.8,,,,,,marcel_only
東明　大貴,オリックス,17.8,4.03,,4.03,,,,,,marcel_only
ロドリゲス,中日,30.3,3.1,2.84,2.91,0.66,4.92,0.0,6.09,-0.2555,bma_jpn
藤川　球児,阪神,37.8,3.68,2.95,3.16,0.76,5.03,0.0,6.2,-0.7311,bma_jpn
岸田　護,オリックス,6.8,4.11,,4.11,,,,,,marcel_only
西口　直人,楽天,7.7,3.6,,3.6,,,,,,marcel_only
森　雄大,楽天,19.0,3.61,,3.61,,,,,,marcel_only
寺原　隼人,ヤクルト,20.4,4.21,,4.21,,,,,,marcel_only
高梨　雄平,巨人,38.0,3.1,3.42,3.22,1.23,5.5,0.11,6.67,0.3199,bma_jpn
東　克樹,DeNA,87.9,3.18,,3.18,,,,,,marcel_only
嘉弥真　新也,ソフトバンク,31.1,3.35,3.46,3.31,1.27,5.54,0.15,6.71,0.1129,bma_jpn
井口　和朋,日本ハム,29.8,3.5,3.6,3.5,1.41,5.68,0.29,6.85,0.1011,bma_jpn
増井　浩俊,オリックス,47.9,3.92,4.1,3.81,1.91,6.17,0.78,7.34,0.1751,bma_jpn
ヒース,西武,34.9,3.86,,3.86,,,,,,marcel_only
澤田　圭佑,オリックス,29.8,3.6,3.38,3.37,1.19,5.46,0.07,6.63,-0.2206,bma_jpn
能見　篤史,阪神,39.0,4.28,4.41,4.06,2.23,6.49,1.1,7.66,0.1346,bma_jpn
田原　誠次,巨人,23.1,3.8,,3.8,,,,,,marcel_only
パットン,DeNA,48.3,4.23,3.82,3.77,1.63,5.9,0.51,7.07,-0.4089,bma_jpn
石川　直也,日本ハム,51.9,3.36,,3.36,,,,,,marcel_only
大瀬良　大地,広島,129.7,3.52,3.7,3.74,1.51,5.78,0.39,6.95,0.178,bma_jpn
桑原　謙太朗,阪神,20.2,3.94,4.18,3.95,1.99,6.26,0.87,7.43,0.2395,bma_jpn
モレノ,阪神,6.7,3.97,,3.97,,,,,,marcel_only
中﨑　翔太,広島,30.4,3.74,,3.74,,,,,,marcel_only
岸　孝之,楽天,99.0,3.6,3.69,3.76,1.5,5.77,0.38,6.94,0.0937,bma_jpn
山﨑　康晃,DeNA,49.9,3.56,3.3,3.34,1.11,5.38,0.0,6.55,-0.2603,bma_jpn
伊藤　翔,西武,20.5,3.58,3.64,3.79,1.45,5.72,0.33,6.89,0.0607,bma_jpn
小川　泰弘,ヤクルト,129.8,4.15,4.22,4.19,2.03,6.3,0.91,7.47,0.0728,bma_jpn
ジャクソン,ロッテ,21.5,3.8,,3.8,,,,,,marcel_only
ヤングマン,巨人,36.5,4.3,,4.3,,,,,,marcel_only
森　唯斗,ソフトバンク,54.4,3.09,3.31,3.3,1.12,5.39,0.0,6.56,0.2174,bma_jpn
畠　世周,巨人,35.0,3.58,3.83,3.87,1.64,5.91,0.52,7.08,0.2473,bma_jpn
唐川　侑己,ロッテ,37.1,3.6,3.98,3.49,1.79,6.06,0.67,7.23,0.3789,bma_jpn
杉浦　稔大,日本ハム,55.9,3.59,3.57,3.73,1.38,5.65,0.26,6.82,-0.0222,bma_jpn
ドリス,阪神,54.6,3.43,,3.43,,,,,,marcel_only
一岡　竜司,広島,31.6,3.81,3.55,3.65,1.36,5.63,0.24,6.8,-0.2617,bma_jpn
山本　由伸,オリックス,113.7,2.5,2.41,2.6,0.22,4.49,0.0,5.66,-0.0909,bma_jpn
マシソン,巨人,27.2,4.1,,4.1,,,,,,marcel_only
ガルシア,阪神,108.1,3.88,4.04,3.93,1.85,6.12,0.73,7.29,0.1577,bma_jpn
南　昌輝,ロッテ,12.5,4.07,,4.07,,,,,,marcel_only
高橋　礼,ソフトバンク,76.4,3.27,3.53,3.38,1.34,5.6,0.21,6.77,0.2552,bma_jpn
高橋　奎二,ヤクルト,55.5,4.15,3.73,3.78,1.54,5.81,0.41,6.97,-0.4239,bma_jpn
サファテ,ソフトバンク,6.0,4.21,,4.21,,,,,,marcel_only
三上　朋也,DeNA,21.0,3.73,4.15,3.68,1.96,6.23,0.84,7.4,0.4173,bma_jpn
岡本　健,ソフトバンク,38.3,3.68,,3.68,,,,,,marcel_only
ボルシンガー,ロッテ,109.3,4.04,,4.04,,,,,,marcel_only
菊池　雄星,西武,163.7,3.5,,3.5,,,,,,marcel_only
アルバース,オリックス,86.7,4.26,4.41,4.16,2.22,6.49,1.1,7.66,0.1516,bma_jpn
益田　直也,ロッテ,57.3,3.16,3.12,3.19,0.93,5.2,0.0,6.36,-0.0437,bma_jpn
原　樹理,ヤクルト,59.6,3.9,3.27,3.59,1.08,5.35,0.0,6.52,-0.6317,bma_jpn
大下　佑馬,ヤクルト,31.6,4.07,4.15,3.92,1.96,6.23,0.84,7.4,0.0801,bma_jpn
ジョンソン,広島,95.5,3.36,,3.36,,,,,,marcel_only
上原　健太,日本ハム,38.8,4.08,4.02,4.07,1.83,6.1,0.71,7.27,-0.0609,bma_jpn
祖父江　大輔,中日,48.6,3.34,3.67,3.37,1.48,5.75,0.36,6.92,0.3303,bma_jpn
松永　昂大,ロッテ,22.9,3.59,,3.59,,,,,,marcel_only
上沢　直之,日本ハム,105.5,3.29,3.21,3.33,1.02,5.29,0.0,6.46,-0.0772,bma_jpn
岩田　稔,阪神,43.0,4.58,4.58,4.53,2.39,6.65,1.26,7.82,-0.005,bma_jpn
村田　透,日本ハム,46.4,3.82,4.14,4.01,1.95,6.22,0.83,7.39,0.3195,bma_jpn
榎田　大樹,西武,66.2,4.57,5.06,4.51,2.87,7.14,1.75,8.31,0.4938,bma_jpn
東浜　巨,ソフトバンク,87.1,3.46,3.7,3.62,1.51,5.78,0.39,6.95,0.243,bma_jpn
青柳　晃洋,阪神,103.5,3.38,3.51,3.66,1.32,5.59,0.2,6.76,0.1273,bma_jpn
近藤　大亮,オリックス,51.5,3.68,,3.68,,,,,,marcel_only
バリオス,DeNA,31.5,3.89,,3.89,,,,,,marcel_only
加治屋　蓮,ソフトバンク,31.2,4.14,,4.14,,,,,,marcel_only
平井　克典,西武,65.8,3.79,3.72,3.65,1.53,5.8,0.41,6.97,-0.0698,bma_jpn
松本　裕樹,ソフトバンク,30.2,3.6,3.6,3.51,1.41,5.68,0.28,6.84,-0.0038,bma_jpn
相内　誠,西武,12.0,4.12,,4.12,,,,,,marcel_only
岩貞　祐太,阪神,76.0,3.64,3.63,3.71,1.44,5.71,0.32,6.88,-0.01,bma_jpn
小野　郁,ロッテ,25.1,3.71,3.82,3.71,1.63,5.9,0.51,7.07,0.1132,bma_jpn
平良　拳太郎,DeNA,74.8,3.27,3.38,3.41,1.2,5.46,0.07,6.63,0.1148,bma_jpn
中尾　輝,ヤクルト,21.9,4.01,,4.01,,,,,,marcel_only
マルティネス,日本ハム,108.1,3.9,3.68,3.73,1.49,5.76,0.37,6.93,-0.2164,bma_jpn
千賀　滉大,ソフトバンク,145.8,3.0,2.75,3.09,0.56,4.83,0.0,6.0,-0.2515,bma_jpn
野田　昇吾,西武,17.2,3.68,,3.68,,,,,,marcel_only
