AVG,OBP,SLG,OPS,HR,RBI,SB,BB,SO,H,player,team,PA,target_year,age,data_years
0.291,0.374,0.468,0.851,20.7,70.9,12.9,74.6,108.7,179.0,秋山　翔吾,西武,681,2021,32.0,2
0.237,0.327,0.35,0.683,7.7,42.1,12.9,50.9,94.5,98.7,田中　広輔,広島,476,2021,31.0,3
0.274,0.331,0.359,0.686,3.9,40.4,23.6,43.1,85.6,140.2,源田　壮亮,西武,585,2021,28.0,3
0.249,0.367,0.506,0.873,32.5,94.5,1.7,73.0,120.4,111.7,山川　穂高,西武,538,2021,29.0,3
0.278,0.342,0.361,0.721,4.8,44.8,20.1,48.9,74.0,155.0,大島　洋平,中日,588,2021,35.0,3
0.25,0.312,0.39,0.708,12.0,49.6,8.5,42.5,92.5,122.5,菊池　涼介,広島,546,2021,31.0,3
0.275,0.377,0.509,0.889,29.7,99.6,2.9,81.4,124.8,139.3,浅村　栄斗,楽天,592,2021,30.0,3
0.256,0.343,0.382,0.722,11.4,55.2,15.2,54.0,97.9,123.1,中村　奨吾,ロッテ,563,2021,28.0,3
0.278,0.363,0.364,0.724,3.8,35.0,4.6,48.0,61.1,106.9,糸原　健斗,阪神,452,2021,28.0,3
0.278,0.386,0.506,0.89,23.2,73.4,20.4,77.8,104.4,122.9,山田　哲人,ヤクルト,533,2021,28.0,3
0.289,0.398,0.397,0.792,7.4,45.0,31.2,87.8,100.2,141.6,西川　遥輝,日本ハム,594,2021,28.0,3
0.255,0.305,0.344,0.64,5.5,39.9,13.3,31.8,93.8,121.7,京田　陽太,中日,554,2021,26.0,3
0.292,0.373,0.517,0.876,28.9,91.4,3.4,60.3,109.6,139.1,岡本　和真,巨人,572,2021,24.0,3
0.247,0.314,0.34,0.648,4.8,33.5,7.6,32.5,63.7,84.0,藤岡　裕大,ロッテ,400,2021,27.0,3
0.245,0.305,0.42,0.714,10.8,34.2,8.8,20.9,68.5,67.3,上林　誠知,ソフトバンク,322,2021,25.0,3
0.23,0.319,0.456,0.796,21.3,66.7,1.5,47.1,90.4,86.7,バレンティン,ソフトバンク,397,2021,36.0,3
0.242,0.317,0.451,0.774,24.9,91.6,1.7,51.6,94.8,116.3,中田　翔,日本ハム,532,2021,31.0,3
0.326,0.416,0.519,0.929,20.7,73.9,6.3,70.2,60.4,151.9,吉田　正尚,オリックス,558,2021,27.0,3
0.243,0.331,0.342,0.694,5.4,27.9,4.4,40.0,50.0,83.3,坂口　智隆,ヤクルト,365,2021,36.0,3
0.284,0.334,0.454,0.796,16.9,55.6,1.4,32.8,45.2,133.9,宮﨑　敏郎,DeNA,497,2021,32.0,3
0.289,0.355,0.469,0.833,18.6,84.7,3.6,42.0,70.7,141.8,ビシエド,中日,536,2021,32.0,3
0.223,0.284,0.415,0.723,21.7,63.4,3.8,39.9,98.5,115.7,松田　宣浩,ソフトバンク,517,2021,37.0,3
0.276,0.376,0.512,0.888,28.4,77.9,2.2,77.1,122.5,132.7,筒香　嘉智,DeNA,567,2021,29.0,2
0.265,0.339,0.385,0.73,7.4,38.9,1.5,35.8,47.4,87.8,中村　晃,ソフトバンク,370,2021,31.0,3
0.269,0.35,0.399,0.76,6.7,32.9,3.6,38.0,53.2,87.8,平田　良介,中日,358,2021,33.0,3
0.273,0.363,0.445,0.837,14.8,56.8,3.0,56.9,64.0,132.2,青木　宣親,ヤクルト,507,2021,39.0,3
0.281,0.386,0.52,0.912,27.5,81.9,9.7,81.9,114.9,133.3,丸　佳浩,巨人,556,2021,31.0,3
0.275,0.351,0.402,0.759,9.5,58.3,4.3,49.4,70.0,139.1,鈴木　大地,楽天,572,2021,31.0,3
0.317,0.428,0.438,0.86,6.3,61.1,4.1,86.2,83.2,135.9,近藤　健介,日本ハム,533,2021,27.0,3
0.263,0.333,0.346,0.69,4.4,41.4,3.1,39.2,50.5,106.4,銀次,楽天,437,2021,33.0,3
